2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-16-04/25/23 14:16:01 | 44.237.156.51 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:01 | 44.237.156.51 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-16-04/25/23 14:16:01 | 44.237.156.51 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:01 | 44.237.156.51 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-16-04/25/23 14:16:01 | 44.237.156.51 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:01 | 44.237.156.51 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:01 | 44.237.156.51 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 44.237.156.51 | Protocol: 6
2023-16-04/25/23 14:16:01 | 172.20.10.46 -> 10.8.0.1 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 10.8.0.1 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 4.2.2.1 | Protocol: 17
2023-16-04/25/23 14:16:04 | 4.2.2.1 -> 172.20.10.46 | Protocol: 17
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
